519)swap count : 9370, And comparison : 4685
520)swap count : 9392, And comparison : 4696
521)swap count : 9414, And comparison : 4707
522)swap count : 9436, And comparison : 4718
523)swap count : 9458, And comparison : 4729
524)swap count : 9480, And comparison : 4740
525)swap count : 9502, And comparison : 4751
526)swap count : 9524, And comparison : 4762
527)swap count : 9546, And comparison : 4773
528)swap count : 9568, And comparison : 4784
529)swap count : 9590, And comparison : 4795
530)swap count : 9612, And comparison : 4806
531)swap count : 9634, And comparison : 4817
532)swap count : 9656, And comparison : 4828
533)swap count : 9678, And comparison : 4839
534)swap count : 9700, And comparison : 4850
535)swap count : 9722, And comparison : 4861
536)swap count : 9744, And comparison : 4872
537)swap count : 9766, And comparison : 4883
538)swap count : 9788, And comparison : 4894
539)swap count : 9810, And comparison : 4905
540)swap count : 9832, And comparison : 4916
541)swap count : 9854, And comparison : 4927
542)swap count : 9876, And comparison : 4938
543)swap count : 9898, And comparison : 4949
544)swap count : 9920, And comparison : 4960
545)swap count : 9942, And comparison : 4971
546)swap count : 9964, And comparison : 4982
547)swap count : 9986, And comparison : 4993
548)swap count : 10008, And comparison : 5004
549)swap count : 10030, And comparison : 5015
550)swap count : 10052, And comparison : 5026
551)swap count : 10074, And comparison : 5037
552)swap count : 10096, And comparison : 5048
553)swap count : 10118, And comparison : 5059
554)swap count : 10140, And comparison : 5070
555)swap count : 10162, And comparison : 5081
556)swap count : 10184, And comparison : 5092
557)swap count : 10206, And comparison : 5103
558)swap count : 10228, And comparison : 5114
559)swap count : 10250, And comparison : 5125
560)swap count : 10272, And comparison : 5136
561)swap count : 10294, And comparison : 5147
562)swap count : 10316, And comparison : 5158
563)swap count : 10338, And comparison : 5169
564)swap count : 10360, And comparison : 5180
565)swap count : 10382, And comparison : 5191
566)swap count : 10404, And comparison : 5202
567)swap count : 10426, And comparison : 5213
568)swap count : 10448, And comparison : 5224
569)swap count : 10470, And comparison : 5235
570)swap count : 10492, And comparison : 5246
571)swap count : 10514, And comparison : 5257
572)swap count : 10536, And comparison : 5268
573)swap count : 10558, And comparison : 5279
574)swap count : 10580, And comparison : 5290
575)swap count : 10602, And comparison : 5301
576)swap count : 10624, And comparison : 5312
577)swap count : 10646, And comparison : 5323
578)swap count : 10668, And comparison : 5334
579)swap count : 10690, And comparison : 5345
580)swap count : 10712, And comparison : 5356
581)swap count : 10734, And comparison : 5367
582)swap count : 10756, And comparison : 5378
583)swap count : 10778, And comparison : 5389
584)swap count : 10800, And comparison : 5400
585)swap count : 10822, And comparison : 5411
586)swap count : 10844, And comparison : 5422
587)swap count : 10866, And comparison : 5433
588)swap count : 10888, And comparison : 5444
589)swap count : 10910, And comparison : 5455
590)swap count : 10932, And comparison : 5466
591)swap count : 10954, And comparison : 5477
592)swap count : 10976, And comparison : 5488
593)swap count : 10998, And comparison : 5499
594)swap count : 11020, And comparison : 5510
595)swap count : 11042, And comparison : 5521
596)swap count : 11064, And comparison : 5532
597)swap count : 11086, And comparison : 5543
598)swap count : 11108, And comparison : 5554
599)swap count : 11130, And comparison : 5565
600)swap count : 11152, And comparison : 5576
601)swap count : 11174, And comparison : 5587
602)swap count : 11196, And comparison : 5598
603)swap count : 11218, And comparison : 5609
604)swap count : 11240, And comparison : 5620
605)swap count : 11262, And comparison : 5631
606)swap count : 11284, And comparison : 5642
607)swap count : 11306, And comparison : 5653
608)swap count : 11328, And comparison : 5664
609)swap count : 11350, And comparison : 5675
610)swap count : 11372, And comparison : 5686
611)swap count : 11394, And comparison : 5697
612)swap count : 11416, And comparison : 5708
613)swap count : 11438, And comparison : 5719
